ID,ideology,leadership,name,district,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
412608,0.6486416689299959,0.4020933017193266,Palmer,AL6,Republican,rank-and-file Republican,51,141,60,75
412641,0.7761613435855778,0.30016784732614665,Rouzer,NC7,Republican,conservative Republican,22,339,118,167
412659,0.2755528920453761,0.31302544970295637,Plaskett,,Democrat,moderate Democratic follower,30,197,58,72
412776,0.23549235645047006,0.6780305563896989,Underwood,IL14,Democrat,rank-and-file Democrat,29,226,215,838
412579,0.2917119269428261,0.47916337561403605,Veasey,TX33,Democrat,rank-and-file Democrat,15,403,126,239
412500,0.551462269985112,0.1856129216505846,Amodei,NV2,Republican,centrist Republican follower ,14,195,39,48
412726,0.6601453334589528,0.8086498448087037,Arrington,TX19,Republican,moderate Republican leader,56,172,391,869
412844,0.7388923849907271,0.5559902289596705,Bishop,NC8,Republican,rank-and-file Republican,12,232,116,261
412629,0.7459688761293614,0.621106770130544,Bost,IL12,Republican,conservative Republican,37,354,240,461
412196,0.614645155818434,0.7561103091594927,Buchanan,FL16,Republican,moderate Republican leader,38,251,374,720
400057,0.6299704527973118,0.4881518567414652,Calvert,CA42,Republican,rank-and-file Republican,21,198,151,227
412622,0.7532452690746353,0.7608175475295025,Carter,GA1,Republican,conservative Republican leader,56,406,332,905
400068,0.5930116422985257,0.1098139420248692,Carter,TX31,Republican,moderate Republican follower,9,150,38,49
412676,0.5747997208539924,0.48087800418464544,Comer,KY1,Republican,rank-and-file Republican,16,92,180,364
412400,0.7296843245064802,0.5000000000000001,Crawford,AR1,Republican,rank-and-file Republican,23,201,219,397
412820,0.7866996183640634,0.47877224669514595,Crenshaw,TX2,Republican,conservative Republican,25,405,130,242
400657,0.4818249145479437,0.38235560742894764,Cuellar,TX28,Democrat,centrist Democrat,11,254,111,134
412780,0.331755144894281,0.5635335303180343,Davids,KS3,Democrat,centrist Democrat,16,420,233,449
412472,0.892352192809488,0.682214703859415,Duncan,SC3,Republican,conservative Republican leader,28,447,190,618
412639,0.6625439722773543,0.5400300555183261,Emmer,MN6,Republican,rank-and-file Republican,12,84,186,398
412700,0.6330733734189196,0.46360381067726186,Ferguson,GA3,Republican,rank-and-file Republican,17,205,136,198
400643,0.6235462337780151,0.5880144570687358,Foxx,NC5,Republican,rank-and-file Republican,20,137,197,295
412731,0.5976260100733776,0.6255622482837649,Gallagher,WI8,Republican,rank-and-file Republican,44,153,179,310
456792,0.5647003788470155,0.29952388088571086,Garcia,CA27,Republican,rank-and-file Republican,25,170,104,135
412842,0.4680307446405554,0.3975630137038727,Golden,ME2,Democrat,centrist Democrat,23,247,31,45
412822,0.7664477972184924,0.49254891374949095,Gooden,TX5,Republican,conservative Republican,17,315,193,335
412397,0.8426010089057289,0.5274489465272568,Gosar,AZ9,Republican,conservative Republican,21,401,128,266
412714,0.5071100710415548,0.7535249473517254,Gottheimer,NJ5,Democrat,centrist Democratic leader,46,1074,359,982
400157,0.5278999592877968,0.38629329937620394,Granger,TX12,Republican,centrist Republican,8,108,163,177
412661,0.8101963366747617,0.6712305729031884,Grothman,WI6,Republican,conservative Republican leader,34,383,296,554
412793,0.7867247176889524,0.6436338873906545,Guest,MS3,Republican,conservative Republican leader,16,361,229,542
412278,0.6316670605187215,0.4275228971544458,Guthrie,KY2,Republican,rank-and-file Republican,25,185,187,341
412609,0.630240647368164,0.5118220892246469,Hill,AR2,Republican,rank-and-file Republican,28,205,74,123
412550,0.7314404655487685,0.6487802171333341,Hudson,NC9,Republican,moderate Republican leader,25,291,240,363
412816,0.666402632047046,0.6811669932088473,Johnson,SD0,Republican,moderate Republican leader,33,209,225,422
412226,0.5637931971424717,0.14943359956070304,Jordan,OH4,Republican,centrist Republican follower ,4,45,20,21
412812,0.6840481252789951,0.390659552857743,Joyce,PA13,Republican,rank-and-file Republican,19,179,185,295
412465,0.6869966506496361,0.7813100404477754,Kelly,PA16,Republican,moderate Republican leader,37,315,374,1101
412191,0.8138689858427176,0.39578245430070524,Lamborn,CO5,Republican,conservative Republican,13,352,89,128
412256,0.6611714270153914,0.5664812255066819,Latta,OH5,Republican,rank-and-file Republican,19,152,138,181
412292,0.6344130926003327,0.5019913477033592,Luetkemeyer,MO3,Republican,rank-and-file Republican,36,176,107,188
400644,0.5125742182299059,0.6585090409010517,McHenry,NC10,Republican,centrist Republican leader,25,69,308,391
412845,0.7110229585838499,0.5950908852680996,Murphy,FL7,Republican,rank-and-file Republican,33,253,222,430
412778,0.6048258326467344,0.2694674330379539,Pence,IN6,Republican,rank-and-file Republican,9,146,59,72
412569,0.7839363422625375,0.42268401256072624,Perry,PA10,Republican,conservative Republican,41,221,62,145
412664,0.44384235785480386,0.017601463996484632,Radewagen,,Republican,centrist Republican follower ,5,174,3,3
400340,0.5014602481019352,0.04398278977906726,Rogers,KY5,Republican,centrist Republican follower ,9,79,18,22
400341,0.6033510200400342,0.17133124024942317,Rogers,AL3,Republican,moderate Republican follower,6,153,14,16
412417,0.680362539983838,0.30933354305874705,Scott,GA8,Republican,rank-and-file Republican,8,224,55,84
412217,0.7042520894343968,0.6694016480517413,Smith,NE3,Republican,moderate Republican leader,38,244,317,779
412792,0.7098100326638211,0.5978395897994933,Stauber,MN8,Republican,rank-and-file Republican,24,347,197,315
412648,0.7419890304504321,0.8194595630321333,Stefanik,NY21,Republican,conservative Republican leader,55,338,258,654
412581,0.5908629031330916,0.2951884011016308,Stewart,UT2,Republican,rank-and-file Republican,13,66,8,10
412317,0.6675532176651532,0.6013752644764992,Thompson,PA15,Republican,rank-and-file Republican,32,310,238,549
412815,0.7279377461633323,0.13959823582079003,Timmons,SC4,Republican,moderate Republican follower,13,267,26,34
412213,0.6732475714632188,0.6329518928108593,Walberg,MI5,Republican,moderate Republican leader,32,213,224,416
412578,0.7479140923837453,0.4115976074378337,Williams,TX25,Republican,conservative Republican,28,223,135,217
400433,0.6954519159559446,0.811120993811304,Wilson,SC2,Republican,moderate Republican leader,26,354,311,729
412402,0.6225902143932994,0.5318143439684294,Womack,AR3,Republican,rank-and-file Republican,10,149,240,278
412739,0.16652196390583995,0.6692800761697674,Gomez,CA34,Democrat,rank-and-file Democrat,21,399,210,780
400004,0.6340109965706339,0.3478989014333756,Aderholt,AL4,Republican,rank-and-file Republican,9,167,134,211
412794,0.6474573103048472,0.4341169643932987,Armstrong,ND,Republican,rank-and-file Republican,27,254,133,188
