state,district_number,year,democratic_vote_percentage,republican_vote_percentage,efficiency_gap,bias
NORTH CAROLINA,11,1976,51.4,48.6,0.103,0.034
OHIO,1,1976,34.17,65.83,-0.049,-0.078
OHIO,2,1976,51.37,48.63,-0.049,-0.078
OHIO,3,1976,25.14,74.86,-0.049,-0.078
OHIO,4,1976,29.94,70.06,-0.049,-0.078
OHIO,5,1976,32.56,67.44,-0.049,-0.078
OHIO,6,1976,38.52,61.48,-0.049,-0.078
OHIO,7,1976,35.15,64.85,-0.049,-0.078
OHIO,8,1976,29.53,70.47,-0.049,-0.078
OHIO,9,1976,55.19,44.81,-0.049,-0.078
OHIO,10,1976,31.24,68.76,-0.049,-0.078
OHIO,11,1976,28.26,71.74,-0.049,-0.078
OHIO,12,1976,49.57,50.43,-0.049,-0.078
OHIO,13,1976,68.44,31.56,-0.049,-0.078
OHIO,14,1976,75.29,24.71,-0.049,-0.078
OHIO,15,1976,34.5,65.5,-0.049,-0.078
OHIO,16,1976,32.36,67.64,-0.049,-0.078
OHIO,17,1976,43.2,56.8,-0.049,-0.078
OHIO,18,1976,71.88,28.12,-0.049,-0.078
OHIO,19,1976,51.2,48.8,-0.049,-0.078
OHIO,20,1976,100.0,0.0,-0.049,-0.078
OHIO,21,1976,88.08,11.92,-0.049,-0.078
OHIO,22,1976,75.05,24.95,-0.049,-0.078
OHIO,23,1976,73.2,26.8,-0.049,-0.078
PENNSYLVANIA,1,1976,74.45,25.55,0.023,0.027
PENNSYLVANIA,2,1976,74.35,25.65,0.023,0.027
PENNSYLVANIA,3,1976,73.54,26.46,0.023,0.027
PENNSYLVANIA,4,1976,67.52,32.48,0.023,0.027
PENNSYLVANIA,5,1976,40.45,59.55,0.023,0.027
PENNSYLVANIA,6,1976,74.35,25.65,0.023,0.027
PENNSYLVANIA,7,1976,54.12,45.88,0.023,0.027
PENNSYLVANIA,8,1976,50.35,49.65,0.023,0.027
PENNSYLVANIA,9,1976,0.0,100.0,0.023,0.027
PENNSYLVANIA,10,1976,37.44,62.56,0.023,0.027
PENNSYLVANIA,11,1976,70.83,29.17,0.023,0.027
PENNSYLVANIA,12,1976,67.68,32.32,0.023,0.027
PENNSYLVANIA,13,1976,36.59,63.41,0.023,0.027
PENNSYLVANIA,14,1976,72.55,27.45,0.023,0.027
PENNSYLVANIA,15,1976,65.39,34.61,0.023,0.027
PENNSYLVANIA,16,1976,37.23,62.77,0.023,0.027
PENNSYLVANIA,17,1976,51.12,48.88,0.023,0.027
PENNSYLVANIA,18,1976,59.46,40.54,0.023,0.027
PENNSYLVANIA,19,1976,29.4,70.6,0.023,0.027
PENNSYLVANIA,20,1976,75.23,24.77,0.023,0.027
PENNSYLVANIA,21,1976,59.4,40.6,0.023,0.027
PENNSYLVANIA,22,1976,55.75,44.25,0.023,0.027
PENNSYLVANIA,23,1976,56.54,43.46,0.023,0.027
PENNSYLVANIA,24,1976,44.17,55.83,0.023,0.027
PENNSYLVANIA,25,1976,43.21,56.79,0.023,0.027
TENNESSEE,1,1976,41.55,58.45,0.054,0.117
TENNESSEE,2,1976,37.2,62.8,0.054,0.117
TENNESSEE,3,1976,68.44,31.56,0.054,0.117
TENNESSEE,4,1976,100.0,0.0,0.054,0.117
TENNESSEE,5,1976,100.0,0.0,0.054,0.117
TENNESSEE,6,1976,35.54,64.46,0.054,0.117
TENNESSEE,7,1976,100.0,0.0,0.054,0.117
TENNESSEE,8,1976,61.2,38.8,0.054,0.117
TEXAS,1,1976,83.72,16.28,0.16,0.098
TEXAS,2,1976,100.0,0.0,0.16,0.098
TEXAS,3,1976,25.96,74.04,0.16,0.098
TEXAS,4,1976,62.72,37.28,0.16,0.098
TEXAS,5,1976,54.77,45.23,0.16,0.098
TEXAS,6,1976,66.37,33.63,0.16,0.098
TEXAS,7,1976,0.0,100.0,0.16,0.098
TEXAS,8,1976,60.74,39.26,0.16,0.098
TEXAS,9,1976,100.0,0.0,0.16,0.098
TEXAS,10,1976,76.82,23.18,0.16,0.098
TEXAS,11,1976,57.4,42.6,0.16,0.098
TEXAS,12,1976,76.12,23.88,0.16,0.098
TEXAS,13,1976,59.49,40.51,0.16,0.098
TEXAS,14,1976,61.42,38.58,0.16,0.098
TEXAS,15,1976,74.37,25.63,0.16,0.098
TEXAS,16,1976,57.79,42.21,0.16,0.098
TEXAS,17,1976,100.0,0.0,0.16,0.098
TEXAS,18,1976,85.93,14.07,0.16,0.098
